P,N,E,N,N
3893,2196388.097,6521539.679,0,Standard Array Pier
3894,2196253.962,6521461.557,0,Standard Array Pier
3895,2196318.507,6521461.557,0,Standard Array Pier
3896,2196352.256,6521461.557,0,Standard Array Pier
3897,2196156.854,6521461.557,0,Standard Array Pier
3898,2196220.214,6521461.557,0,Standard Array Pier
3899,2196186.465,6521461.557,0,Standard Array Pier
3900,2196386.004,6521461.557,0,Standard Array Pier
3901,2196219.69,6521442.026,0,Standard Array Pier
3902,2196185.942,6521442.026,0,Standard Array Pier
3903,2196253.439,6521442.026,0,Standard Array Pier
3904,2196419.752,6521461.557,0,Standard Array Pier
3905,2196449.363,6521461.557,0,Standard Array Pier
3906,2196156.331,6521442.026,0,Standard Array Pier
3907,2196450.41,6521500.618,0,Standard Array Pier
3908,2196157.378,6521481.087,0,Standard Array Pier
3909,2196220.737,6521481.087,0,Standard Array Pier
3910,2196353.302,6521500.618,0,Standard Array Pier
3911,2196387.051,6521500.618,0,Standard Array Pier
3912,2196420.799,6521500.618,0,Standard Array Pier
3913,2196186.989,6521481.087,0,Standard Array Pier
3914,2196386.527,6521481.087,0,Standard Array Pier
3915,2196420.276,6521481.087,0,Standard Array Pier
3916,2196449.887,6521481.087,0,Standard Array Pier
3917,2196254.485,6521481.087,0,Standard Array Pier
3918,2196319.031,6521481.087,0,Standard Array Pier
3919,2196352.779,6521481.087,0,Standard Array Pier
3920,2196390.714,6521637.333,0,Standard Array Pier
3921,2196424.463,6521637.333,0,Standard Array Pier
3922,2196454.074,6521637.333,0,Standard Array Pier
3923,2196258.672,6521637.333,0,Standard Array Pier
3924,2196323.217,6521637.333,0,Standard Array Pier
3925,2196356.966,6521637.333,0,Standard Array Pier
3926,2196161.041,6521617.802,0,Standard Array Pier
3927,2196322.694,6521617.802,0,Standard Array Pier
3928,2196356.442,6521617.802,0,Standard Array Pier
3929,2196390.191,6521617.802,0,Standard Array Pier
3930,2196224.401,6521617.802,0,Standard Array Pier
3931,2196190.652,6521617.802,0,Standard Array Pier
3932,2196258.149,6521617.802,0,Standard Array Pier
3933,2196191.699,6521656.863,0,Standard Array Pier
3934,2196259.196,6521656.863,0,Standard Array Pier
3935,2196323.741,6521656.863,0,Standard Array Pier
3936,2196455.12,6521676.394,0,Standard Array Pier
3937,2196162.088,6521656.863,0,Standard Array Pier
3938,2196225.447,6521656.863,0,Standard Array Pier
3939,2196357.489,6521656.863,0,Standard Array Pier
3940,2196161.564,6521637.333,0,Standard Array Pier
3941,2196224.924,6521637.333,0,Standard Array Pier
3942,2196191.176,6521637.333,0,Standard Array Pier
3943,2196391.238,6521656.863,0,Standard Array Pier
3944,2196424.986,6521656.863,0,Standard Array Pier
3945,2196454.597,6521656.863,0,Standard Array Pier
3946,2196355.396,6521578.741,0,Standard Array Pier
3947,2196389.144,6521578.741,0,Standard Array Pier
3948,2196422.892,6521578.741,0,Standard Array Pier
3949,2196189.606,6521578.741,0,Standard Array Pier
3950,2196257.102,6521578.741,0,Standard Array Pier
3951,2196321.647,6521578.741,0,Standard Array Pier
3952,2196452.504,6521578.741,0,Standard Array Pier
3953,2196256.579,6521559.21,0,Standard Array Pier
3954,2196321.124,6521559.21,0,Standard Array Pier
3955,2196354.872,6521559.21,0,Standard Array Pier
3956,2196159.471,6521559.21,0,Standard Array Pier
3957,2196222.831,6521559.21,0,Standard Array Pier
3958,2196189.082,6521559.21,0,Standard Array Pier
3959,2196223.877,6521598.271,0,Standard Array Pier
3960,2196190.129,6521598.271,0,Standard Array Pier
3961,2196257.626,6521598.271,0,Standard Array Pier
3962,2196423.939,6521617.802,0,Standard Array Pier
3963,2196453.55,6521617.802,0,Standard Array Pier
3964,2196160.518,6521598.271,0,Standard Array Pier
3965,2196322.171,6521598.271,0,Standard Array Pier
3966,2196453.027,6521598.271,0,Standard Array Pier
3967,2196159.994,6521578.741,0,Standard Array Pier
3968,2196223.354,6521578.741,0,Standard Array Pier
3969,2196355.919,6521598.271,0,Standard Array Pier
3970,2196389.667,6521598.271,0,Standard Array Pier
3971,2196423.416,6521598.271,0,Standard Array Pier
3972,2196152.144,6521285.781,0,Standard Array Pier
3973,2196215.503,6521285.781,0,Standard Array Pier
3974,2196181.755,6521285.781,0,Standard Array Pier
3975,2196381.817,6521305.312,0,Standard Array Pier
3976,2196415.565,6521305.312,0,Standard Array Pier
3977,2196445.177,6521305.312,0,Standard Array Pier
3978,2196249.252,6521285.781,0,Standard Array Pier
3979,2196415.042,6521285.781,0,Standard Array Pier
3980,2196444.653,6521285.781,0,Standard Array Pier
3981,2196151.62,6521266.25,0,Standard Array Pier
3982,2196313.797,6521285.781,0,Standard Array Pier
3983,2196347.545,6521285.781,0,Standard Array Pier
3984,2196381.294,6521285.781,0,Standard Array Pier
3985,2196348.592,6521324.842,0,Standard Array Pier
3986,2196382.34,6521324.842,0,Standard Array Pier
